SubmissionDate,starttime,endtime,deviceid,subscriberid,simserial,phonenumber,username,duration,duration_min,caseid,audio_audit,text_audit,q001a,q001b,q001,q001cc,q001c,q001dc,q010a,q010b,q011a,q011b,q012a,q012b,siteid,surveyid,geo-Latitude,geo-Longitude,geo-Altitude,geo-Accuracy,q0const,q100,q101,q102,q103,q104,q105,q105_1,q105_2,q105_3,q105_4,q105_5,q105_6,q105_7,q105_8,q105_9,q105_10,q106,q106_1,q106_2,q106_3,q106_4,q107,q108,q108_1,q108_2,q108_4,q108_5,q108_6,q108_7,q108_8,q108_10,q108_13,q108_b,q108_1_b,q108_2_b,q108_4_b,q108_5_b,q108_6_b,q108_7_b,q108_8_b,q108_10_b,q108_13_b,q109,q110,q111,q111_others,q112,q113,q114,q115,q116,q117,q118,q119,q120,q121,q122,q123,recmm,grp_faibl1_count,qfaibl_1,drecpt_1,respo_1,qdate_1,qfaibl_2,drecpt_2,respo_2,qdate_2,qfaibl_3,drecpt_3,respo_3,qdate_3,qfaibl_4,drecpt_4,respo_4,qdate_4,qfaibl_5,drecpt_5,respo_5,qdate_5,qfaibl_6,drecpt_6,respo_6,qdate_6,qfaibl_7,drecpt_7,respo_7,qdate_7,qfaibl_8,drecpt_8,respo_8,qdate_8,qfaibl_9,drecpt_9,respo_9,qdate_9,qfaibl_10,drecpt_10,respo_10,qdate_10,qfaibl_11,drecpt_11,respo_11,qdate_11,qfaibl_12,drecpt_12,respo_12,qdate_12,qfaibl_13,drecpt_13,respo_13,qdate_13,qcomment,instanceID,instanceName,formdef_version,KEY
21 déc. 2025 19:07:56,21 déc. 2025 13:36:48,21 déc. 2025 14:57:11,a051953f2695f84e,,,+243110509716231,rdqa_pnlt,4823,80.38333333333334,,,https://posaf.surveycto.com/view/submission-attachment/TA_56db39eb-42ba-426c-8ea7-e6e3964da7d0.csv?uuid=uuid%3A56db39eb-42ba-426c-8ea7-e6e3964da7d0,21 déc. 2025,13:37:05,1,Equipe TANGANYIKA,2,Matthieu NTUMBA,9,tn Tanganyika,18,tn Nyunzu,36,tn Nyunzu Hôpital Général de Référence,9-18-36,9-18-36-FA,-5.955468,28.0053709,727.4,4.7,1,1,1,1,0,1,,1,0,1,2,0,2,0,1,1,1,,1,1,1,1,1,,1,1,1,3,1,2,2,2,1,,1,1,1,,1,,,,1,1,1,1,,1,0,0,1,2,0,1,1,1,1,1,1,5,5,La formation en PATI 6date de plus 3ans,Organiser le recyclage du personnel,"MCZ, IS TB",28 févr. 2026,Certains indicateurs ne sont pas bien définis ou compris,Fournir des définitions standardisées et des fiches pratiques pour chaque indicateur,"MCP , IS TB CPLT",31 janv. 2026,Les directives de rapportage ne sont pas disponibles,Elaborer et diffuser les SOP sur la collecte et le rapportage,MCZ,31 janv. 2026,Absence du registre d’expedition des échantillons,Assurer la disponibilité du registre d’expedition des échantillons,MCZ,15 janv. 2026,Les résultats des controles de qualité pas toujours consignés,Mettre en place un calendrier de vérification des données et documenter chaque contrôle,MDH,31 déc. 2025,,,,21 déc. 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAS,uuid:56db39eb-42ba-426c-8ea7-e6e3964da7d0,9-18-36-FA,25121504,uuid:56db39eb-42ba-426c-8ea7-e6e3964da7d0
22 déc. 2025 07:43:01,19 déc. 2025 11:46:59,22 déc. 2025 07:36:45,f116b5a975d8fcf8,,,,rdqa_pnlt,13241,220.68333333333334,,,https://posaf.surveycto.com/view/submission-attachment/TA_d0b386de-d234-4e0c-86eb-9e1efbfb178e.csv?uuid=uuid%3Ad0b386de-d234-4e0c-86eb-9e1efbfb178e,19 déc. 2025,11:47:37,10,Equipe KASAI CENTRAL,20,Nick AMBALI,7,kr Kasai Central,13,kr Bena Leka,25,kr Bena Leka Hôpital Général de Référence,7-13-25,7-13-25-FA,-5.1189034,22.1676648,588.8,4.5,1,1,1,0,0,0,,,,,,,,,,,,,3,3,3,3,2,,1,2,1,4,3,1,1,1,1,,2,,2,,,2,2,2,2,1,1,1,,1,0,0,3,1,0,0,3,2,4,1,2,4,4,Absence d'un tableau de bord des suivi des indicateurs au niveau de l'HGR Benaleka,Elaborer et afficher un tableau de bord pour le suivi des indicateurs cles de la TB,DN/IT,15 janv. 2026,Les rapports TB transmis au niveau du BCZ sont non valide et certifie par le MDH,Que tout les rapports elabores par l'HGR soient valides et certifie par le MDH avant leur transmission au BCZ,DN,30 déc. 2026,Les outils de collectes des données sont mal tenus et remplis partiellement,Se conformer aux directives de PATI 6 pour la tenue des outils de collecte et leur remplissage,DN,19 déc. 2025,Espace etroit du bureau de L'IT ne respectant pas les mesures de contrôle de l'infection et ne lui permettant pas d'organiser l'archivage des données et rapport en toute sécurite,"Rendre disponible parmi le nouveau batiment en consruction,un local permettant à L'IT de bien faire son travail en toute securité",MDH,30 mars 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAS,uuid:d0b386de-d234-4e0c-86eb-9e1efbfb178e,7-13-25-FA,25121504,uuid:d0b386de-d234-4e0c-86eb-9e1efbfb178e
22 déc. 2025 07:43:02,18 déc. 2025 13:20:07,20 déc. 2025 10:32:51,f116b5a975d8fcf8,,,,rdqa_pnlt,29012,483.53333333333336,,,https://posaf.surveycto.com/view/submission-attachment/TA_68644c8e-6f96-4083-81a6-d856822418c4.csv?uuid=uuid%3A68644c8e-6f96-4083-81a6-d856822418c4,18 déc. 2025,13:20:20,10,Equipe KASAI CENTRAL,20,Nick AMBALI,7,kr Kasai Central,13,kr Bena Leka,26,kr Kabuluanda Centre de Santé de Référence,7-13-26,7-13-26-FA,-5.0116885,22.2128519,570.1,4.4,1,1,1,1,2,1,,1,1,1,1,2,2,2,1,1,1,,1,1,2,2,1,,1,4,1,1,4,1,1,1,1,,2,,1,1,,2,2,2,1,1,1,1,,1,0,0,3,2,0,2,3,2,2,1,1,5,5,Les outils de collecte de linformation mal tenus et remplis partiellement,"Former ou recycler les personnels sur l'utilisation et le remplissage correcte des outils de collecte des données(registre,fiche de traitement,rapport,etc..)",It du centre,19 déc. 2025,Les documents normatif non utilises et mal concerve,Regrouper tout les outils non utilises et le garde dans un endroit approprie,IT du centre,19 déc. 2025,"Absence de  guide en rapport avec les autres thematique notamment la coinfection,la Tpt,etc...",Faire une commande a la Zs des directives sus mentionnees pour le renforcement en capacite des prestataire,It,19 déc. 2025,Archivage défaillant et indisponibilité des rapports antérieurs,"Mettre en place un système d'archivage physique standardisé( classeurs par année et type de rapport).
Numériser progressivement les rapports TB(scan)",IT du centre,20 déc. 2025,Aucune documentation ecrite sur les resultats de contrôle de qualité des données,"Creer des fiches de contrôle des données pour chaque periode et mettre en place un registre d'audit de qualité des données.
Archiver systématiquement les rapports de CDQ et le feedback de la zs en rapport avec les données",IT,20 déc. 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"L'enquete s'est bien deroulée, malgre qu'il ya des questionnaires où on aurait voulut qu'on nous donne la possibilité de faire de commentaires,notamment: les numeros de question 110,121,118,119",uuid:68644c8e-6f96-4083-81a6-d856822418c4,7-13-26-FA,25121504,uuid:68644c8e-6f96-4083-81a6-d856822418c4
22 déc. 2025 15:50:46,22 déc. 2025 10:15:05,22 déc. 2025 15:47:18,32aa94963d879e8c,,,,rdqa_pnlt,7833,130.55,,,https://posaf.surveycto.com/view/submission-attachment/TA_c2348311-41ff-4606-a00a-11c8dcb5bd0a.csv?uuid=uuid%3Ac2348311-41ff-4606-a00a-11c8dcb5bd0a,22 déc. 2025,10:15:05,7,Equipe KONGO CENTRAL,15,FOFANHA EBENGO,3,kc Kongo Central,5,Matadi,10,CSR MVUNZI,3-5-10,3-5-10-FA,-5.8370726,13.4724524,157.0,4.7,1,1,1,0,2,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,4,1,1,1,1,0,1,1,1,4,1,1,2,2,Archivage defectueuse,Informer le BCZ,IT,24 déc. 2025,Pas  un  espace pr  garder  les  arches,,,22 déc. 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAS,uuid:c2348311-41ff-4606-a00a-11c8dcb5bd0a,3-5-10-FA,25121504,uuid:c2348311-41ff-4606-a00a-11c8dcb5bd0a
22 déc. 2025 17:41:56,22 déc. 2025 11:42:29,22 déc. 2025 17:41:50,4971f6dd5da500ea,,,+243110509716246,rdqa_pnlt,1907,31.783333333333335,,,https://posaf.surveycto.com/view/submission-attachment/TA_cae461ab-c241-4919-91cd-ce90132a1d9c.csv?uuid=uuid%3Acae461ab-c241-4919-91cd-ce90132a1d9c,22 déc. 2025,11:42:50,7,Equipe KONGO CENTRAL,15,FOFANHA EBENGO,3,kc Kongo Central,6,Nzanza,11,HCR Kiamvu,3-6-11,3-6-11-FA,-5.8248956,13.4662011,114.9,4.8,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,2,1,1,1,1,1,1,1,1,1,1,1,Faire l’etalage pour l’archivage,BCZ,MCZ,2 mars 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ras,uuid:cae461ab-c241-4919-91cd-ce90132a1d9c,3-6-11-FA,25121504,uuid:cae461ab-c241-4919-91cd-ce90132a1d9c
22 déc. 2025 18:20:39,22 déc. 2025 08:18:45,22 déc. 2025 18:20:29,a051953f2695f84e,,,+243110509716231,rdqa_pnlt,5427,90.45,,,https://posaf.surveycto.com/view/submission-attachment/TA_2225e986-3f00-489d-8b04-c2d1af791c66.csv?uuid=uuid%3A2225e986-3f00-489d-8b04-c2d1af791c66,22 déc. 2025,08:18:52,1,Equipe TANGANYIKA,2,Matthieu NTUMBA,9,tn Tanganyika,18,tn Nyunzu,35,Lwizi,9-18-35,9-18-35-FA,-6.03029,27.4814598,541.9,4.9,1,1,1,1,0,1,,1,0,0,2,0,2,1,2,0,1,,1,1,1,1,1,,1,4,1,3,4,1,1,1,1,,1,,1,,,1,1,1,1,1,1,1,,1,0,0,1,2,0,1,1,1,1,1,1,5,5,La formation du personnel non actualisée,Renforcer les capacités du personnel par l’organisation du recyclage du personnel sur PATI 6 lors des missions de supervision,MCZ,28 févr. 2026,Absence de plan de suivi et évaluation,Accompagner le CDT dans lélaboration du plan de suivi et évaluation,"IS TB , MCZ",31 janv. 2026,Plusieurs indicateurs TB ne sont pas bien definis ou coompris par les prestataires,Clarifier et standardiser les définitions des indicateurs TB avec des sessions pratiques pour les prestataires,"MCZ, IS TB",31 janv. 2026,Les registres d’expédition des échantillons et PR manquent dans l’ESS,Assurer l’approvisionnement du CDT en registre PR et registre d’expédition des échantillons,MCZ,31 déc. 2025,"Les SOP ou autres documents d,orientation sur le contrôle de qualité des données ne sont pas disponibles",Formaliser les SOP sur le contrôle de qualité des données et les rendre accessibles,MCP,31 janv. 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Participation active de tous les acteurs impliqués dans le RDQA,uuid:2225e986-3f00-489d-8b04-c2d1af791c66,9-18-35-FA,25121504,uuid:2225e986-3f00-489d-8b04-c2d1af791c66
23 déc. 2025 09:08:49,18 déc. 2025 12:35:53,22 déc. 2025 19:11:53,0834d731150bed21,,,,rdqa_pnlt,9378,156.3,,,https://posaf.surveycto.com/view/submission-attachment/TA_f299c305-10c3-4f6a-8733-6182b8592e53.csv?uuid=uuid%3Af299c305-10c3-4f6a-8733-6182b8592e53,18 déc. 2025,12:35:57,6,Equipe KASAI ORIENTAL,13,Sébastien MAYU,4,ke Kasai Oriental,7,ke Bonzola,14,ke Nyongololo PNC Centre de Santé,4-7-14,4-7-14-FA,-6.1205568,23.5776046,653.4,4.9,1,1,1,1,0,0,,,,,,,,,,,,,0,1,1,1,1,,1,1,1,1,4,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,2,0,1,1,2,4,2,2,6,6,"Absence de tableau de bord de suivi des indicateurs clés,","1.Mettre à jour le tableau de suivi des indicateurs clés,","IT,",30 janv. 2026,"Absence de retro information sur l’analyse des données TB,",Mise à jour de retro information sur l’analyse des données,BCZ,30 janv. 2026,"Absence de SOP pour le controle des données TB,",Mise à jour de SOP pour le contrôlre des données TB,IBCZ,30 janv. 2026,"Les registres ne sont pas classés par date et service,",Classer les registres par service et par date,IT,30 janv. 2026,Absence d’une armoire pour l’archive d’outils des données,Créer une armoire pour l’archivage d’outils des données,IT,30 janv. 2026,Absence de guide de Pati VI.,Rendre disponible le guide Pati VI.,IMCZ,30 janv. 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ces données sont du CDT La Rose. Le CDT nyongololo etait remplacé par celui-ci, si vous trouvez ces données au cdt Songololo suite au
 parametrage du cdt la Rose était fait en retad. Donc, il faut que ces donnees soient transferées dans le compte sur cdt La Rose a partir de seveur.",uuid:f299c305-10c3-4f6a-8733-6182b8592e53,4-7-14-FA,25121504,uuid:f299c305-10c3-4f6a-8733-6182b8592e53
23 déc. 2025 09:08:50,12 déc. 2025 15:21:31,22 déc. 2025 19:09:20,0834d731150bed21,,,,rdqa_pnlt,3927,65.45,,,https://posaf.surveycto.com/view/submission-attachment/TA_ea537900-efdc-46b6-b651-570c7f5d43f6.csv?uuid=uuid%3Aea537900-efdc-46b6-b651-570c7f5d43f6,12 déc. 2025,15:21:09,1,Equipe 1,1,Superviseur 1,4,ke Kasai Oriental,7,ke Bonzola,19,ke Camp Nsele Centre de Santé,4-7-19,4-7-19-FA,-6.1311269,23.5770791,679.5,4.5,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,0,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1.Absence de tableau de bord,Mettre à jour le tableau de bord,"IIT, BCZ",5 janv. 2026,Pas d’accusés de réception sur les rapports trimestiels déposés au BCZ,Transmettre le rapport en souble pour accusé de réception,IIT,5 janv. 2026,Absence de retro information d’évaluation des données,Rndre disponible le  retro information d’évaluation des données,BCZ,18 déc. 2025,Absence de SOP,Rendre libre les SOP,BCZ,5 janv. 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Un négligence de la part du personnel sur la maitrise de remplissage des outils. Formation obligatoire,uuid:ea537900-efdc-46b6-b651-570c7f5d43f6,4-7-19-FA,251211948,uuid:ea537900-efdc-46b6-b651-570c7f5d43f6
23 déc. 2025 09:08:50,19 déc. 2025 13:44:36,22 déc. 2025 19:15:12,0834d731150bed21,,,,rdqa_pnlt,8531,142.18333333333334,,,https://posaf.surveycto.com/view/submission-attachment/TA_6f8e2618-f2df-4c2a-be89-4da151ffb32b.csv?uuid=uuid%3A6f8e2618-f2df-4c2a-be89-4da151ffb32b,19 déc. 2025,13:44:44,6,Equipe KASAI ORIENTAL,13,Sébastien MAYU,4,ke Kasai Oriental,8,ke Mukumbi,15,ke Kamaleka Hôpital Général de Référence,4-8-15,4-8-15-FA,-6.0235598,23.7056664,513.2,4.1,1,1,1,1,0,0,,,,,,,,,,,,,0,1,1,1,3,,1,1,4,4,1,4,4,4,4,,1,1,,,1,,,,2,1,1,1,,4,0,1,1,2,0,1,1,1,4,0,2,10,10,Pas se tableau de bord,Mettre à jour le tableau de bord,IT,30 janv. 2026,"Absence de registre des expéditions des échantillons, des cas contacts, de traitement préventifs.","Mettre à jour le registre des expéditions des échantillons, des cas contacts, de traitement préventifs.",MCZ,30 janv. 2026,as de guide  Pati VI,Mise en place du guide  Pati VI,MCZ,30 janv. 2026,Pas de SOP,Rendre disponible  les SOP,BCZS,19 déc. 2025,Absence d’un superviseur qui fait régulièrement des contrôles d’exactitudes,Diisposer un supervisuer qui fait régulièrement des contrôles d’exactitudes,MCZS,30 janv. 2026,Pas d’archive propre pour garder les documents et les outils,Prévoir l’archive propre pour garder les documents et les outils,IS,19 déc. 2025,Pas des fiches de traitement des patients,Faite la commnade des fiches de traitement des patients,BCZS,30 janv. 2026,Pas d’armoire pour  la conservation des directives nationales et intrnationales,Disposer une  armoire pour  la conservation des directives nationales et intrnationales,IT,30 janv. 2026,Absence des documents écrits sur les résultats de contrôle des données,Mis à jour des documents écrits sur les résultats de contrôle des données,MCZ,19 déc. 2025,Pas de tableau de suivi des indicateurs,Mettre a jou d’un tableau des indicateurs,BCZS,30 janv. 2026,0,0,0,19 janv. 2026,,,,,,,,,L’equipe merite les differentes formations qui ont trait à la TB.,uuid:6f8e2618-f2df-4c2a-be89-4da151ffb32b,4-8-15-FA,25121504,uuid:6f8e2618-f2df-4c2a-be89-4da151ffb32b
23 déc. 2025 09:08:51,20 déc. 2025 11:01:31,22 déc. 2025 18:56:56,0834d731150bed21,,,,rdqa_pnlt,5156,85.93333333333334,,,https://posaf.surveycto.com/view/submission-attachment/TA_ceccd16a-e893-42ad-bab0-30ccced0a3d3.csv?uuid=uuid%3Aceccd16a-e893-42ad-bab0-30ccced0a3d3,20 déc. 2025,11:01:38,6,Equipe KASAI ORIENTAL,13,Sébastien MAYU,4,ke Kasai Oriental,8,ke Mukumbi,16,ke Tshilunde Centre de Santé,4-8-16,4-8-16-FA,-5.8184923,23.6329474,802.7,4.6,1,1,1,1,0,2,,,,,,,,,,,,,1,1,1,1,1,,1,1,1,4,1,1,4,1,1,,1,1,1,,1,1,,1,1,1,1,1,,1,1,1,1,2,0,1,1,1,2,0,2,5,5,Absence de tableau de bord,Mise en à d’un tableau de bord,IT,30 janv. 2026,Absence du registre des expédition des echantillons,Mise en place du registre des expéditions des echantillons,MCZ,30 janv. 2026,Pas de registre de taritement préventif,Mise en plcace du registre de taritement préventif,MCZ,30 janv. 2026,Absence de document écrit sur les résultats de contrôle de qualitédes données,Mettre à jour de document écrit sur les résultats de contrôle de qualitédes données,MCZ,30 janv. 2026,Absence de SOP et d’une armoire réservée aux directives natinales et internationles,"Rendre disponible les SOP , et du document écrit sur les résultats de contrôle de qualitédes données","MCZ,IT",30 janv. 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disponibilité de l’équipe,uuid:ceccd16a-e893-42ad-bab0-30ccced0a3d3,4-8-16-FA,25121504,uuid:ceccd16a-e893-42ad-bab0-30ccced0a3d3
23 déc. 2025 12:33:41,23 déc. 2025 09:54:19,23 déc. 2025 12:33:36,32aa94963d879e8c,,,,rdqa_pnlt,4777,79.61666666666666,,,https://posaf.surveycto.com/view/submission-attachment/TA_00e88e2a-8a50-4d8b-85d2-7281b886fcc1.csv?uuid=uuid%3A00e88e2a-8a50-4d8b-85d2-7281b886fcc1,23 déc. 2025,09:54:29,7,Equipe KONGO CENTRAL,14,Jules KONGO,3,kc Kongo Central,5,Matadi,9,CSR AMEKC,3-5-9,3-5-9-FA,-5.8304903,13.4843271,298.9,4.5,1,1,1,0,0,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,4,1,1,1,1,,1,1,1,1,,2,1,1,1,1,1,1,,4,1,1,1,2,0,1,1,1,1,1,2,2,2,Pas de tableau de suivi des indicateurs,Tracer un tableau de suivi des indicateurs et l’afficher au mur,I T,15 janv. 2026,Registre des cas contacts non mis a jour,Mettre a jour le registre des cas contacts,I T,15 janv. 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suivre les recommandations formulees,uuid:00e88e2a-8a50-4d8b-85d2-7281b886fcc1,3-5-9-FA,25121504,uuid:00e88e2a-8a50-4d8b-85d2-7281b886fcc1
23 déc. 2025 13:32:09,23 déc. 2025 11:18:16,23 déc. 2025 13:32:02,4971f6dd5da500ea,,,+243110509716246,rdqa_pnlt,3146,52.43333333333333,,,https://posaf.surveycto.com/view/submission-attachment/TA_993ee1de-d383-4fcd-97e1-9041d8e834b2.csv?uuid=uuid%3A993ee1de-d383-4fcd-97e1-9041d8e834b2,23 déc. 2025,11:23:42,7,Equipe KONGO CENTRAL,14,Jules KONGO,3,kc Kongo Central,6,Nzanza,12,CSR Zola Nsiaku,3-6-12,3-6-12-FA,-5.8315971,13.4913307,96.6,4.9,1,1,1,1,2,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,Achat d’un classeur pour l’archivge,Hopital,AG et MD,10 janv. 2026,Utilisez le nouveau canevas de repportage des donnees TB,BCZ,BCZ,9 janv. 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RaS,uuid:993ee1de-d383-4fcd-97e1-9041d8e834b2,3-6-12-FA,25121504,uuid:993ee1de-d383-4fcd-97e1-9041d8e834b2
23 déc. 2025 13:59:44,23 déc. 2025 13:06:49,23 déc. 2025 13:57:50,3580b942ec24aed6,,,+243110509716244,rdqa_pnlt,3061,51.016666666666666,,,https://posaf.surveycto.com/view/submission-attachment/TA_f495b323-285a-4255-a0a2-bd819e3b7ae1.csv?uuid=uuid%3Af495b323-285a-4255-a0a2-bd819e3b7ae1,23 déc. 2025,13:08:39,9,Equipe EQUATEUR,19,Stéphane MBUYl,1,eq Equateur,1,ZS WANGATA,1,CDT CS PILOTE,1-1-1,1-1-1-FA,0.0538166,18.2593353,317.6,4.5,1,1,0,1,0,1,,1,0,2,1,1,1,2,1,1,1,,1,1,1,1,1,,1,1,1,3,4,3,1,1,1,,1,1,1,,,,1,1,1,1,1,1,,1,1,1,1,2,1,1,1,1,1,2,1,3,3,Absence des feedback des superviseurs du bureau central de la zone de sante,Faire le feedback apres chaque supervision,Infirmier superviseur de la zone de sante,9 janv. 2026,Manque de formation dans la gestion des donnees TB,Planifier une formation dans la gestion des donnees TB,Medecin chef de zone,30 mars 2026,Manque de coaching des pretataires de CDT dans la gestion des donnees,Organiser les supervisions formatives dans la gestion des donnees,Superviseur TB et data manager de la zone de sante,30 mars 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Archivage bien organise, prestataires tres devoues pour leur travail, preparer la releve car les pretataires sont en age de retraite, le soucis de travail bien fait.",uuid:f495b323-285a-4255-a0a2-bd819e3b7ae1,1-1-1-FA,25121504,uuid:f495b323-285a-4255-a0a2-bd819e3b7ae1
23 déc. 2025 14:18:16,22 déc. 2025 12:59:36,23 déc. 2025 14:17:54,56885bda4a90b310,,,,rdqa_pnlt,1871,31.183333333333334,,,https://posaf.surveycto.com/view/submission-attachment/TA_d839dbf7-9087-49ba-92bf-cbd6d2377bb0.csv?uuid=uuid%3Ad839dbf7-9087-49ba-92bf-cbd6d2377bb0,22 déc. 2025,13:00:41,4,Equipe KWANGO,9,Popaul KULONGA,5,kg Kwango,9,kg Panzi,17,kg Panzi Hôpital Général de Référence,5-9-17,5-9-17-FA,-4.8248478,17.0391603,561.4,5.0,1,1,3,0,2,1,,1,2,1,2,2,1,1,2,2,2,,2,1,3,2,1,,1,1,1,4,1,1,1,1,1,,1,1,1,,2,1,1,1,2,1,1,1,,3,0,2,2,2,2,1,1,2,2,2,2,6,6,Ad,Compris,Mdh,31 déc. 2025,Retard,Avant,Mgd,31 déc. 2025,Bb,Pp,Mcz,31 déc. 2025,Plus,Chaud,It,31 déc. 2025,Trou,Creux,Mcz,31 déc. 2025,Terre,Recette,It,31 déc. 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desordre,uuid:d839dbf7-9087-49ba-92bf-cbd6d2377bb0,5-9-17-FA,25121504,uuid:d839dbf7-9087-49ba-92bf-cbd6d2377bb0
24 déc. 2025 00:56:02,23 déc. 2025 11:54:52,23 déc. 2025 13:12:55,cdcdb4f6995c23f7,,,+243110509716222,rdqa_pnlt,4683,78.05,,,https://posaf.surveycto.com/view/submission-attachment/TA_addca76c-3d9c-4e75-a7f1-042a19ac0b92.csv?uuid=uuid%3Aaddca76c-3d9c-4e75-a7f1-042a19ac0b92,23 déc. 2025,11:54:02,9,Equipe EQUATEUR,18,Dieumerci MUMBOLO,1,eq Equateur,2,ZS BOLENGE,4,CDT CSR BONGONDE,1-2-4,1-2-4-FA,-0.1459382,18.2244622,325.1,4.7,1,1,1,1,0,0,,,,,,,,,,,,,2,2,2,2,1,,1,4,1,3,4,3,3,1,3,,1,,1,,,,,1,1,1,1,1,,1,1,1,1,1,0,0,3,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"L'IT du CDT est motivé pour le travail et maitrise les responsabilités qui lui sont attribués. Il maitrise les notions sur la TB ainsi que l'utilisation des differents outils de collecte. Les outils sont bien tenus et bien remplis tandisque certains outils ne sont pas disponible. La structure utilise encore certains outils de l’ancienne version PATI5 pour combler ce deficit. Le Guide PATI6 n’est pas disponible.
Le suivi de performance des indicateurs TB ne sont pas affichés, le systeme d'archivage n’est pas bien organisé.",uuid:addca76c-3d9c-4e75-a7f1-042a19ac0b92,1-2-4-FA,25121504,uuid:addca76c-3d9c-4e75-a7f1-042a19ac0b92
24 déc. 2025 11:12:35,24 déc. 2025 10:35:14,24 déc. 2025 11:12:05,de265427e98eed43,,,,rdqa_pnlt,2212,36.86666666666667,,,https://posaf.surveycto.com/view/submission-attachment/TA_bec9ccb6-2809-4440-9d9e-63c31c64c8c7.csv?uuid=uuid%3Abec9ccb6-2809-4440-9d9e-63c31c64c8c7,24 déc. 2025,10:35:27,5,Equipe LWALABA,11,Shadrack KISALU,8,ll Lualaba,16,ZS Manika,32,CDT Afia,8-16-32,8-16-32-FA,-10.7232,25.5083362,0.0,200.0,1,1,1,0,0,0,,,,,,,,,,,,,0,0,0,0,1,,1,4,1,3,4,3,3,3,3,,1,,1,,,,,,1,1,1,1,,4,1,1,2,2,0,2,3,1,1,1,2,4,4,Absence de guide pati 6 dans le CDT,Rendre disponible le guide PATI 6 en faisant la demande au BCZ,I.T,10 janv. 2026,Absence des tableaux de bord des indicateurs,Etablir et afficher trimestriellement le tableau de bord,IT,20 janv. 2026,"Absence d’outils de collecte (registres TPT, expedition, cas contacts et fiche de traitement)",Faire la commande des outils manquants,IT,24 déc. 2025,Pas de monitorage interne,Tenir des reunions de monitorage interne chaque mois,IT,24 déc. 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1. Disponibilité de l’equipe enquetée et de quelques outils de collecte
2. Bonne collaboration",uuid:bec9ccb6-2809-4440-9d9e-63c31c64c8c7,8-16-32-FA,25121504,uuid:bec9ccb6-2809-4440-9d9e-63c31c64c8c7
